v_cam;altitude;tma_num;V_S;V_E;V_T;maps;year;location;azimuth;photo_dist;fl_length;month;day
"32";"10000";"5122";"1";"15";"14";;"1947";marie_byrd_land;236;1.754;24.558;"1";"24"
"32";"10000";"5120";"2";"180";"178";;"1947";marie_byrd_land;146;1.041;186.33;"1";"24"
"32";"9000";"5132";"75";"81";"6";;"1947";marie_byrd_land;72.4;3.169;19.014;"1";"26"
"32";"9000";"5133";"82";"174";"92";;"1947";marie_byrd_land;183;0.862;79.268;"1";"26"
"32";"9000";"5128";"1";"11";"10";;"1947";marie_byrd_land;77.5;2.151;21.506;"1";"26"
"32";"9000";"5129";"12";"21";"9";;"1947";marie_byrd_land;163;1.562;14.058;"1";"26"
"32";"9000";"5130";"22";"39";"17";;"1947";marie_byrd_land;74.7;1.186;20.162;"1";"26"
"32";"9000";"5131";"40";"74";"34";;"1947";marie_byrd_land;0;0.754;25.641;"1";"26"
"32";"10000";"5135";"1";"17";"16";;"1947";marie_byrd_land;83.7;1.515;24.239;"1";"26"
"32";"8000";"5136";"18";"80";"62";;"1947";peninsula;346;1.46;90.549;"1";"26"
"32";"8000";"5136";"18";"80";"62";;"1947";marie_byrd_land;346;1.46;90.549;"1";"26"
"32";"9000";"5137";"91";"170";"79";;"1947";peninsula;275;0.975;77.006;"1";"26"
"32";"10000";"5138";"1";"91";"90";;"1947";peninsula;250;1.123;101.03;"1";"26"
"32";"9000";"5139";"92";"167";"75";;"1947";peninsula;273;1.167;87.514;"1";"26"
"32";"9000";"5140";"168";"172";"4";;"1947";peninsula;216;22.17;66.534;"1";"26"
"32";"9000";"5140";"168";"172";"4";;"1947";other;216;22.17;66.534;"1";"26"
"32";"10000";"5111";"99";"193";"94";;"1946";peninsula;60.3;0.81;79.417;"12";"30"
"32";"10000";"5115";"1";"40";"39";;"1946";peninsula;140;0.471;18.368;"12";"30"
"32";"10000";"5116";"40";"88";"48";;"1946";peninsula;87;1.061;50.908;"12";"30"
"32";"10000";"5117";"89";"144";"55";;"1946";peninsula;350;1.441;79.256;"12";"30"
"32";"10000";"5113";"7";"85";"78";;"1946";peninsula;258;1.029;80.283;"12";"30"
"32";"10000";"5112";"1";"6";"5";;"1946";peninsula;258;9.017;45.083;"12";"30"
"32";"10000";"5114";"86";"98";"12";;"1946";peninsula;259;9.328;111.94;"12";"30"
"32";"10000";"5114";"86";"98";"12";;"1946";other;259;9.328;111.94;"12";"30"
"32";"10000";"5109";"10";"32";"22";;"1946";peninsula;239;1.404;32.299;"12";"30"
"32";"10000";"5108";"1";"9";"8";;"1946";peninsula;235;2.721;21.766;"12";"30"
"32";"20000";"592";"56";"117";"61";;"1960";peninsula;341;2.487;151.7;"1";"23"
"32";;"2020";"1106";"1460";"354";;"1971";marie_byrd_land;44;0.033;24.475;"12";"28"
"32";;"2019";"1";"31";"30";;"1967";marie_byrd_land;221;0.966;28.968;"1";
"32";"20000";"591";"1";"55";"54";;"1960";peninsula;265;2.586;139.63;"1";"23"
"32";"21500";"2417";"47";"62";"15";;"1974";peninsula;68.2;2.211;33.162;"1";"14"
"32";"4050";"2423";"143";"160";"17";;"1974";peninsula;114;0.794;13.497;"1";"14"
"32";"4050";"2421";"101";"121";"20";;"1974";peninsula;26.4;0.731;14.611;"1";"14"
"32";"4050";"2424";"161";"180";"19";;"1974";peninsula;71.3;0.627;11.911;"1";"14"
"32";"4050";"2422";"130";"142";"12";;"1974";peninsula;25.1;0.557;6.68;"1";"14"
"32";"21500";"2415";"16";"20";"4";;"1974";peninsula;316;2.368;9.471;"1";"14"
"32";"21500";"2399";"1";"15";"14";;"1974";peninsula;20.8;2.103;29.435;"1";"14"
"32";"21500";"2399";"1";"15";"14";;"1974";marie_byrd_land;20.8;2.103;29.435;"1";"14"
"32";"6300";"1583";"117";"137";"20";;"1965";marie_byrd_land;201;0.645;12.891;"1";"28"
"32";"6300";"1582";"98";"116";"18";;"1965";marie_byrd_land;18.2;0.743;13.379;"1";"28"
"32";"6300";"1581";"74";"97";"23";;"1965";marie_byrd_land;203;0.636;14.621;"1";"28"
"32";"6300";"1580";"50";"73";"23";;"1965";marie_byrd_land;198;0.637;14.656;"1";"28"
"32";"6300";"1579";"29";"49";"20";;"1965";marie_byrd_land;22.8;0.652;13.03;"1";"28"
"32";"6300";"1578";"1";"28";"27";;"1965";marie_byrd_land;28.1;0.355;9.583;"1";"26"
"32";"20000";"2223";"37";"56";"19";;"1969";marie_byrd_land;196;1.754;33.332;"11";"24"
"32";"20000";"2222";"19";"36";"17";;"1969";marie_byrd_land;18;1.89;32.137;"11";"24"
"32";"20000";"2224";"57";"80";"23";;"1969";marie_byrd_land;344;1.861;42.809;"11";"24"
"32";"20000";"2221";"1";"17";"16";;"1969";marie_byrd_land;184;1.635;26.167;"11";"24"
"32";;"478";"111";"210";"99";;"1955";transantarctic_mountains;330;0.417;41.313;"1";"2"
"00";"9900";"157";"43";"75";"32";;"1947";wilkes_land;219;1.011;79.901;"2";"11"
"32";;"532";"4";"218";"214";;"1947";marie_byrd_land;124;1.104;239.54;"2";"15"
"32";;"532";"4";"218";"214";;"1947";marie_byrd_land;117;1.104;239.54;"2";"15"
"32";"6000";"634";"1";"221";"220";;"1947";marie_byrd_land;196;0.849;160.48;"2";"22"
"32";"6000";"634";"1";"221";"220";;"1947";marie_byrd_land;134;0.849;30.635;"2";"22"
"32";"6000";"634";"1";"221";"220";;"1947";ross_shelf;134;0.849;30.635;"2";"22"
"32";;"637";"2";"216";"214";;"1947";transantarctic_mountains;154;1.69;228.56;"2";"18"
"32";;"637";"2";"216";"214";;"1947";transantarctic_mountains;92.3;1.69;134.84;"2";"18"
"32";"25000";"2093";"398";"478";"81";N/A;"1968";queen_maud_land;218;1.438;115.05;"1";"12"
"32";"25000";"2092";"342";"397";"56";N/A;"1968";queen_maud_land;41.2;1.262;69.405;"1";"12"
"32";"25000";"2091";"277";"341";"65";N/A;"1968";queen_maud_land;154;2.525;161.58;"1";"12"
"32";"25000";"2090";"248";"276";"29";N/A;"1968";queen_maud_land;210;1.942;54.387;"1";"12"
"32";"25000";"2089";"141";"247";"107";N/A;"1968";queen_maud_land;32.3;1.972;209.01;"1";"12"
"32";;"2029";"196";"233";"38";N/A;"1967";queen_maud_land;130;4.267;157.89;"11";
"32";;"2084";"229";"262";"34";N/A;"1968";queen_maud_land;25.7;3.5;115.51;"1";
"32";;"2083";"186";"228";"43";N/A;"1968";queen_maud_land;206;3.346;140.53;"1";
"32";"25000";"2082";"124";"185";"62";N/A;"1968";queen_maud_land;25.7;2.849;173.76;"1";"4"
"32";"25000";"2081";"1";"123";"123";N/A;"1968";queen_maud_land;9.14;2.298;280.4;"1";"4"
"32";"25000";"2068";"128";"277";"150";N/A;"1967";queen_maud_land;188;2.118;315.56;"12";"5"
"32";"25000";"2058";"360";"392";"33";N/A;"1967";queen_maud_land;189;2.879;92.115;"12";"3"
"32";"25000";"2067";"1";"127";"127";N/A;"1967";queen_maud_land;7.38;2.521;317.64;"12";"5"
